// Start Time: 0
// Sample rate: 100.0Hz
// Scenario: 4.9
// Firmware Version: 2.5.1
Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
03A0,FFFFFEAD,0726,FFFFFFAE,FFFFFF9A,FFFFFFE4,FFFFFF22,0074,FFFFFFCE 
03C4,FFFFFE89,078D,FFFFFFF2,FFFFFF6F,000E,FFFFFF22,0074,FFFFFFCE 
03D9,FFFFFE6D,07AD,0016,FFFFFF1A,0033,FFFFFF1F,0073,FFFFFFD1 
03C7,FFFFFE5B,075F,FFFFFFC3,FFFFFEEC,0073,FFFFFF22,0072,FFFFFFD0 
03B2,FFFFFE56,0701,FFFFFFC2,FFFFFED5,0085,FFFFFF21,006B,FFFFFFD3 
03AE,FFFFFE4A,06EC,003A,FFFFFEC2,0064,FFFFFF26,006E,FFFFFFDA 
03D0,FFFFFE57,070C,00B1,FFFFFEA1,0035,FFFFFF28,006E,FFFFFFD6 
03C5,FFFFFE5B,0701,00B4,FFFFFE6C,001D,FFFFFF26,0072,FFFFFFD8 
03B7,FFFFFE58,06D3,009F,FFFFFE34,000B,FFFFFF22,0074,FFFFFFD4 
03C0,FFFFFE4C,06CD,00D3,FFFFFDF5,FFFFFFDD,FFFFFF22,006E,FFFFFFDA 
03DB,FFFFFE1A,070B,00F2,FFFFFDCC,FFFFFFBC,FFFFFF27,006D,FFFFFFD7 
040A,FFFFFDF4,076D,00C6,FFFFFDAB,FFFFFFAC,FFFFFF1D,006B,FFFFFFD7 
0423,FFFFFDEC,07A6,0058,FFFFFD76,FFFFFFA5,FFFFFF19,0073,FFFFFFD3 
03DF,FFFFFE19,078B,FFFFFFE7,FFFFFD37,FFFFFFA5,FFFFFF20,006A,FFFFFFD6 
03F2,FFFFFE3C,0750,0013,FFFFFCE5,FFFFFF93,FFFFFF27,0069,FFFFFFDB 
040B,FFFFFE38,073C,0093,FFFFFCC6,FFFFFF7D,FFFFFF28,0072,FFFFFFDC 
043E,FFFFFE38,0715,0098,FFFFFCBD,FFFFFF76,FFFFFF21,005B,FFFFFFDB 
0457,FFFFFE32,06EB,003E,FFFFFCC9,FFFFFF74,FFFFFF29,0063,FFFFFFE7 
043C,FFFFFE2F,06AB,FFFFFFAC,FFFFFCF7,FFFFFF74,FFFFFF2B,005F,FFFFFFE1 
043D,FFFFFE41,0675,FFFFFF38,FFFFFD1F,FFFFFF69,FFFFFF20,0066,FFFFFFE2 
0456,FFFFFE56,0657,FFFFFED6,FFFFFD2D,FFFFFF51,FFFFFF22,0064,FFFFFFE4 
0449,FFFFFE58,063B,FFFFFE62,FFFFFD1B,FFFFFF43,FFFFFF2C,0062,FFFFFFEC 
0458,FFFFFE6A,0633,FFFFFE10,FFFFFCFD,FFFFFF36,FFFFFF2E,0064,FFFFFFEA 
0462,FFFFFE55,065F,FFFFFE0F,FFFFFCCE,FFFFFF23,FFFFFF2F,0053,FFFFFFEB 
0487,FFFFFE2B,0695,FFFFFDFB,FFFFFC83,FFFFFF05,FFFFFF2C,0066,FFFFFFF0 
04AF,FFFFFE16,06A2,FFFFFD99,FFFFFC63,FFFFFEF1,FFFFFF32,005E,FFFFFFF6 
04C7,FFFFFE0F,067F,FFFFFD00,FFFFFC77,FFFFFEEA,FFFFFF34,0058,FFFFFFFA 
